"ANNEX1_GENUS","NCBI_SUB_TAXA","NCBI_TAXONOMY_LINK","INCLUDE_APPROVED_SIGN","EXCLUDE_APPROVED_SIGN"
"Beta","Beta patula","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1505710","   ","   "
"Beta","Beta palonga","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1729649","   ","   "
"Beta","Beta macrorhiza","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1775858","   ","   "
"Beta","unclassified Beta","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2677026","   ","   "
" ","   Beta sp. AV-2014","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1505709","   ","   "
"Beta","Beta intermedia","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2848329","   ","   "
"Fragaria","Fragaria x ananassa","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=3747","   ","   "
" ","   Fragaria x ananassa subsp. ananassa","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=674470","   ","   "
" ","   Fragaria x ananassa subsp. cuneifolia","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=674471","   ","   "
"Fragaria","Fragaria vesca","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=57918","   ","   "
" ","   Fragaria vesca subsp. americana","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=101019","   ","   "
" ","   Fragaria vesca subsp. vesca","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=101020","   ","   "
" ","      Fragaria vesca f. alba","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=101022","   ","   "
" ","      Fragaria vesca f. semperflorens","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1521448","   ","   "
" ","      Fragaria vesca var. mexicana","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1945654","   ","   "
" ","   Fragaria vesca subsp. bracteata","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=157670","   ","   "
" ","   Fragaria vesca subsp. californica","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1595992","   ","   "
"Fragaria","Fragaria nubicola","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=60188","   ","   "
"Fragaria","Fragaria iinumae","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=64939","   ","   "
"Fragaria","Fragaria moschata","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=64940","   ","   "
"Fragaria","Fragaria nilgerrensis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=64941","   ","   "
"Fragaria","Fragaria viridis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=64942","   ","   "
"Fragaria","Fragaria chiloensis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=101007","   ","   "
" ","   Fragaria chiloensis subsp. pacifica","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=101008","   ","   "
" ","   Fragaria chiloensis subsp. lucida","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=101009","   ","   "
" ","   Fragaria chiloensis subsp. chiloensis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=403489","   ","   "
" ","      Fragaria chiloensis f. patagonica","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=403490","   ","   "
" ","   Fragaria chiloensis subsp. sandwicensis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=674466","   ","   "
"Fragaria","Fragaria daltoniana","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=101010","   ","   "
"Fragaria","Fragaria gracilis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=101011","   ","   "
"Fragaria","Fragaria nipponica","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=101012","   ","   "
" ","   Fragaria nipponica var. yezoensis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=538575","   ","   "
" ","   Fragaria nipponica var. yakusimensis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2250714","   ","   "
"Fragaria","Fragaria orientalis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=101013","   ","   "
"Fragaria","Fragaria pentaphylla","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=101014","   ","   "
"Fragaria","Fragaria virginiana","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=101015","   ","   "
" ","   Fragaria virginiana subsp. glauca","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=101016","   ","   "
" ","   Fragaria virginiana subsp. platypetala","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=101017","   ","   "
" ","   Fragaria virginiana subsp. virginiana","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=101018","   ","   "
" ","   Fragaria virginiana subsp. grayana","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1238183","   ","   "
"Fragaria","Fragaria grandiflora","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=203802","   ","   "
"Fragaria","Fragaria bucharica","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=538573","   ","   "
"Fragaria","Fragaria mandshurica","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=538574","   ","   "
"Fragaria","Fragaria corymbosa","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=538576","   ","   "
"Fragaria","Fragaria moupinensis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=538577","   ","   "
"Fragaria","Fragaria tibetica","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=538578","   ","   "
"Fragaria","Fragaria iturupensis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=538579","   ","   "
"Fragaria","Fragaria vesca x Fragaria nubicola","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=599650","   ","   "
"Fragaria","Fragaria chinensis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=674467","   ","   "
"Fragaria","Fragaria x bifera","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=674468","   ","   "
"Fragaria","Fragaria mexicana","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1595991","   ","   "
"Fragaria","Fragaria cascadensis","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=1810749","   ","   "
"Fragaria","Fragaria hayatae","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2487926","   ","   "
"Fragaria","Fragaria hybrid cultivar","https://www.ncbi.nlm.nih.gov/Taxonomy/Browser/wwwtax.cgi?lvl=10&id=2497996","   ","   "
